Region,Origin,Total Deaths,Total Damages ('000 US$)
Western Africa,NA,11000,NA
Southern Asia,NA,1250000,NA
Central America,NA,2000,25000
Central America,NA,1000,NA
Central America,NA,6000,NA
Northern America,NA,76,NA
Eastern Africa,NA,17,NA
Southern Asia,NA,NA,NA
Northern America,NA,18,NA
Southern Asia,NA,20000,25000
South America,NA,20000,100000
South America,NA,400,NA
Western Europe,NA,6,NA
Western Europe,NA,NA,NA
Eastern Asia,NA,10000,20000
Eastern Asia,NA,12000,NA
Southern Asia,NA,1300000,NA
Northern America,NA,33,NA
Southern Asia,NA,172,NA
Southern Asia,NA,NA,NA
Eastern Asia,NA,1500000,NA
Western Europe,NA,46,NA
Caribbean,NA,150,NA
South-Eastern Asia,NA,40,NA
Western Africa,NA,NA,NA
Northern America,NA,62,NA
Eastern Asia,NA,60000,NA
Western Africa,NA,NA,NA
Central America,NA,1750,NA
Northern Africa,NA,12,NA
Western Africa,NA,NA,NA
Western Africa,NA,NA,NA
Southern Asia,NA,NA,NA
Northern America,NA,73,NA
Eastern Asia,NA,100000,NA
Northern America,NA,28,5000
Eastern Asia,NA,50000,NA
South-Eastern Asia,NA,20,NA
Northern America,NA,56,NA
Eastern Asia,NA,NA,NA
Caribbean,NA,1600,NA
Southern Asia,NA,300,NA
Eastern Asia,NA,1800,NA
Eastern Asia,NA,NA,NA
Central America,NA,2650,NA
South-Eastern Asia,NA,15000,NA
Eastern Asia,NA,10000,NA
Southern Asia,NA,393000,NA
Northern America,NA,50000,NA
Caribbean,NA,NA,NA
Caribbean,NA,NA,NA
Southern Asia,NA,NA,NA
South-Eastern Asia,NA,5000,NA
Eastern Asia,NA,180000,25000
Western Africa,NA,24000,NA
Caribbean,NA,NA,NA
Eastern Asia,NA,500000,NA
Western Europe,NA,NA,20000
Southern Asia,NA,2000000,NA
Southern Asia,NA,500000,NA
Caribbean,NA,NA,NA
South America,NA,1000,NA
Caribbean,NA,NA,NA
Southern Asia,NA,NA,NA
Northern America,NA,43,8000
Eastern Asia,NA,100000,NA
Caribbean,NA,NA,NA
Southern Asia,NA,6,NA
Eastern Asia,NA,5000,NA
Eastern Asia,NA,100,NA
South America,NA,40,NA
South-Eastern Asia,NA,727,NA
Southern Asia,NA,1242,NA
Southern Asia,NA,300000,NA
Eastern Asia,NA,5000,NA
Western Europe,NA,NA,19000
Southern Asia,NA,80,NA
Western Europe,NA,NA,NA
Southern Asia,NA,NA,NA
Caribbean,NA,NA,NA
South America,NA,100,NA
Caribbean,NA,600,NA
Western Europe,NA,NA,31000
Northern Africa,NA,12,NA
Western Europe,NA,28,NA
Southern Asia,NA,NA,NA
Southern Asia,NA,423000,NA
South-Eastern Asia,NA,50,NA
Eastern Asia,NA,40912,NA
Eastern Asia,NA,5000,NA
Northern Africa,NA,3000,NA
Southern Asia,NA,56,NA
Southern Asia,NA,629,NA
Western Europe,NA,NA,NA
Eastern Europe,NA,107,NA
Northern America,Earthquake,27,NA
South America,NA,220,NA
Eastern Asia,NA,3000000,NA
Caribbean,NA,2000,NA
Southern Europe,NA,103,NA
South-Eastern Asia,Volacno and landslide,128,NA
Caribbean,NA,NA,NA
Western Europe,NA,NA,55000
Western Europe,NA,NA,NA
Western Europe,NA,60,NA
Caribbean,NA,2000,NA
Caribbean,NA,2000,40000
Western Europe,NA,40,NA
Southern Europe,NA,22,NA
South-Eastern Asia,NA,1369,NA
Northern America,NA,NA,NA
Eastern Asia,NA,3700000,1400000
Central America,NA,1500,7500
South America,NA,190,NA
Melanesia,NA,200,NA
Central America,NA,1500,NA
South-Eastern Asia,NA,1300,NA
Caribbean,NA,2500,NA
Western Europe,NA,30,NA
South-Eastern Asia,NA,6,NA
Eastern Asia,NA,10000,NA
Eastern Asia,NA,18000,NA
Eastern Asia,NA,500,NA
Caribbean,NA,14,NA
Eastern Asia,NA,142000,NA
Caribbean,NA,35,NA
Caribbean,NA,2150,NA
Southern Asia,NA,60000,NA
South-Eastern Asia,NA,9,NA
Northern America,NA,500,NA
South-Eastern Asia,NA,17,NA
Southern Asia,NA,233,NA
Southern Asia,NA,NA,NA
Eastern Asia,NA,11000,NA
South-Eastern Asia,NA,NA,NA
South America,NA,30000,920000
Western Africa,NA,22,NA
Australia and New Zealand,NA,71,NA
Eastern Asia,NA,500000,NA
Western Africa,NA,NA,NA
Western Africa,NA,20000,NA
Western Africa,NA,NA,NA
Western Africa,NA,NA,NA
Southern Asia,NA,5000,NA
Melanesia,NA,6,NA
Southern Asia,NA,1500000,NA
Southern Asia,NA,61000,NA
Eastern Asia,NA,30,NA
Polynesia,NA,NA,NA
South America,NA,200,2500
Southern Asia,NA,40000,NA
